Alberta,AB,53.9332706,-116.5765035
British Columbia,BC,53.7266683,-127.6476206
Manitoba,MB,53.7608608,-98.8138763
New Brunswick,NB,46.5653163,-66.4619164
Nova Scotia,NS,43.37822,-64.9405185
Nunavut,NU,70.2997711,-83.1075769
Ontario,ON,51.253775,-85.3232139
Prince Edward Island,PE,46.510712,-63.4168136
Quebec,QC,52.9399159,-73.5491361
Saskatchewan,SK,52.9399159,-106.4508639
Yukon,YT,64.2823274,-135.0
